Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
L2_RQSTS.L2_PF_HIT,r5024:u,0.0620613066563,2442,2481,2495,2308,3183,2240,3572,2449,2249,2483,2344,2036,2414,2223,2341,2472,2301,2323,2305,2240,2278,2187,2207,4729,2266,2213,2301,2279,2265,2324,2223,2197
L2_RQSTS.L2_PF_MISS,r3024:u,-0.137086586884,128577,128603,128798,128921,128846,128851,128692,128875,128848,128877,128789,128953,128822,128793,128779,128511,128712,128826,128857,128724,128414,128730,128865,129312,128821,128844,128921,128729,128836,128822,128725,128734
L2_RQSTS.ALL_PF,rf824:u,0.696168906745,197410,197861,195501,195635,195295,195176,195207,195343,195243,195156,195107,194822,195271,195044,194983,194760,195174,195181,195024,194884,195833,194726,194607,195004,195035,195091,195039,194952,194847,194870,194692,194706
L2_RQSTS.MISS,r3f24:u,0.503788693339,135024,135180,131480,131434,131357,131368,131616,131625,131684,131755,131484,131250,131855,131488,131488,131628,131540,131593,131443,131434,133318,131379,131413,131791,131606,131490,131460,131339,131497,131393,131462,131406
L2_RQSTS.REFERENCES,rff24:u,0.572580888942,263578,263746,262006,262250,262043,262216,262309,262298,262224,262129,262172,261932,262184,262047,261944,261593,262100,261956,261999,261876,262333,261961,261963,262060,261882,262010,262060,262117,261862,262092,261921,262053
L2_DEMAND_RQSTS.WB_HIT,r5027:u,-0.615600030085,62506,61355,65427,65151,65173,65454,65519,65375,65496,65395,65473,65420,65426,65423,65422,65388,65305,65073,65442,65159,65372,65450,65450,65392,65371,65428,65453,65491,65427,65466,65458,65466
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,0.169077814281,3536,3535,3465,3337,3171,3225,3838,3077,3749,3794,3501,3578,3577,3204,2987,3505,3406,3645,3315,3482,3097,2994,3315,3081,3473,3292,2926,3123,3257,3115,3388,2982
LONGEST_LAT_CACHE.MISS,cache-misses:u,0.0609617458323,1898,1995,1959,1831,1683,1773,2051,1719,2552,2292,2049,2068,2084,1766,1569,2252,1925,1991,1786,1756,1797,1406,1616,1454,2016,1555,1744,1808,1824,1868,2148,1770
CPU_CLK_UNHALTED.THREAD_P,cycles:u,1.0,10969953,11335968,11556505,11026928,10784024,10394539,10273977,10262252,10279884,10274112,10275264,10275620,10261590,10255386,10201277,10266642,10257956,10260634,10260684,10247916,10251644,10261659,10258185,10251099,10259471,10267371,10262515,10260383,10263372,10257026,10261996,10255583
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,0.800412548744,278290,283284,300930,284962,283642,260183,263914,276915,275901,268499,269596,272718,266123,270172,261317,262861,262863,251227,269019,271485,268503,265801,275502,267991,267770,266146,268301,270166,265510,272030,265425,263207
